id,user_id,location_id,head_office_id,job_id,subtypes,regulatory_body_id,reg_no,created_at,updated_at,also_is
100,1015,,36,1209,"[""34""]",,,2025-03-16 23:34:07,2025-03-16 23:34:07,
101,1015,,18,1,[],,,2025-03-16 23:35:11,2025-03-16 23:35:11,
102,1034,,18,603,[],8,1234567,2025-03-16 23:42:50,2025-03-16 23:42:50,
104,1034,,43,2,[],,,2025-03-17 00:13:26,2025-03-17 00:13:26,
110,1045,,33,57,[],,,2025-03-17 10:37:29,2025-03-17 10:37:29,
111,1045,,36,1209,"[""33""]",,,2025-03-17 10:58:42,2025-03-17 10:58:42,
114,1045,,43,603,[],8,1223456,2025-03-17 12:28:42,2025-03-17 12:28:42,
115,1063,,37,603,"[""38""]",8,1069032,2025-03-17 13:34:02,2025-03-17 13:34:02,
116,1068,,37,917,"[""40""]",43,5102717,2025-03-17 14:31:17,2025-03-17 14:31:17,
118,1034,,1,1,[],,,2025-03-17 15:07:48,2025-03-17 15:07:48,
119,1091,,43,1,[],,,2025-03-17 15:27:55,2025-03-17 15:27:55,
120,1092,,43,603,[],8,2456852,2025-03-17 15:31:13,2025-03-17 15:31:13,
121,1071,,37,917,"[""40""]",43,5105119,2025-03-17 15:35:34,2025-03-17 15:35:34,
122,1045,,27,2,[],,,2025-03-17 15:39:18,2025-03-17 15:39:18,
123,1093,,48,603,[],8,7654321,2025-03-17 15:39:49,2025-03-17 15:39:49,
124,1094,,48,917,[],43,1234568,2025-03-17 15:45:42,2025-03-17 15:45:42,
125,1045,,1,4,[],,,2025-03-17 15:49:54,2025-03-17 15:49:54,
126,1034,,48,1,[],,,2025-03-17 15:53:35,2025-03-17 15:53:35,
129,1086,,37,603,"[""25""]",8,2074380,2025-03-17 16:47:11,2025-03-17 16:47:11,
130,1090,,48,1246,[],,,2025-03-17 16:47:23,2025-03-17 16:47:23,
